Pořadové číslo,Název obce,Počet obyvatel,ZUJ,IČO,Kategorie,Okres,ZUJ okres,Kraj,Základní působnost,Matriční úřad,ZUJ MÚ,Stavební úřad,ZUJ SÚ,POÚ,ZUJ POÚ,ORP,ZUJ ORP,VÚ,SM,ZP,MÚ,SÚ,PÚ,RP,OK,F2,F3,Vidimace,Czech POINT,SO MÚ,SO SÚ,SO POÚ,SO ORP,Počet obyvatel okresu,Počet obcí MÚ,Počet obcí SÚ,Počet obcí POÚ,Počet obcí ORP,Počet obcí okresu,NUTS 2,Poznámka 1
1,Abertamy,1236,554979,00254398,město,Karlovy Vary,554961,Karlovarský kraj,Abertamy,Pernink,555452,Pernink,555452,Ostrov,555428,Ostrov,555428,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severozápad,vyhláška
2,Adamov,699,535826,00581160,obec,České Budějovice,544256,Jihočeský kraj,Adamov,Rudolfov,544981,Rudolfov,544981,České Budějovice,544256,České Budějovice,544256,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
3,Adamov,105,531367,00639664,obec,Kutná Hora,533955,Středočeský kraj,Adamov,Tupadly,534480,Čáslav,534005,Čáslav,534005,Čáslav,534005,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Střední Čechy,vyhláška
4,Adamov,4591,581291,00279889,město,Blansko,581283,Jihomoravský kraj,Adamov,Adamov,581291,Adamov,581291,Adamov,581291,Blansko,581283,0,0,1,1,1,1,0,0,0,0,1,1,4591,4591,4591,,,1,1,1,,,Jihovýchod,matrika
5,Adršpach,517,547786,00653560,obec,Náchod,573868,Královéhradecký kraj,Adršpach,Teplice nad Metují,574538,Teplice nad Metují,574538,Teplice nad Metují,574538,Broumov,573922,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
6,Albrechtice,3928,598925,00297429,obec,Karviná,598917,Moravskoslezský kraj,Albrechtice,Albrechtice,598925,Albrechtice,598925,Havířov,555088,Havířov,555088,0,0,1,1,1,0,0,0,0,0,1,1,3928,3928,,,,1,1,,,,Moravskoslezsko,matrika
7,Albrechtice,478,547981,00581003,obec,Ústí nad Orlicí,579891,Pardubický kraj,Albrechtice,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,Lanškroun,580511,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
8,Albrechtice nad Orlicí,1007,576077,00579106,obec,Rychnov nad Kněžnou,576069,Královéhradecký kraj,Albrechtice nad Orlicí,Týniště nad Orlicí,576859,Týniště nad Orlicí,576859,Týniště nad Orlicí,576859,Kostelec nad Orlicí,576361,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Severovýchod,vyhláška
9,Albrechtice nad Vltavou,836,549258,00249521,obec,Písek,549240,Jihočeský kraj,Albrechtice nad Vltavou,Písek,549240,Písek,549240,Písek,549240,Písek,549240,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Jihozápad,vyhláška
10,Albrechtice v Jizerských horách,344,563528,00262277,obec,Jablonec nad Nisou,563510,Liberecký kraj,Albrechtice v Jizerských horách,Smržovka,563811,Tanvald,563820,Tanvald,563820,Tanvald,563820,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,Severovýchod,vyhláška
11,Albrechtičky,701,568741,00600814,obec,Nový Jičín,599191,Moravskoslezský kraj,Albrechtičky,Studénka,599921,Studénka,599921,Studénka,599921,Bílovec,599247,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,Moravskoslezsko,vyhláška
