PSC,Okres,Kraj
10000,3100,PR
10100,3100,PR
10200,3100,PR
10300,3100,PR
10400,3100,PR
10600,3100,PR
10700,3100,PR
10800,3100,PR
10900,3100,PR
11000,3100,PR
11101,3100,PR
11800,3100,PR
11900,3100,PR
12000,3100,PR
12800,3100,PR
13000,3100,PR
14000,3100,PR
14100,3100,PR
14200,3100,PR
14300,3100,PR
14700,3100,PR
14800,3100,PR
14900,3100,PR
14900,3210,ST
15000,3100,PR
15200,3100,PR
15300,3100,PR
15400,3100,PR
15500,3100,PR
15521,3100,PR
15531,3100,PR
15600,3100,PR
15800,3100,PR
15900,3100,PR
16000,3100,PR
16100,3100,PR
16200,3100,PR
16300,3100,PR
16400,3100,PR
16500,3100,PR
16900,3100,PR
17000,3100,PR
17100,3100,PR
18000,3100,PR
18100,3100,PR
18200,3100,PR
18400,3100,PR
18600,3100,PR
19000,3100,PR
19011,3100,PR
19012,3100,PR
19014,3100,PR
19015,3100,PR
19016,3100,PR
19017,3100,PR
19300,3100,PR
19600,3100,PR
19700,3100,PR
19800,3100,PR
19900,3100,PR
25001,3209,ST
25061,3209,ST
25063,3206,ST
25063,3209,ST
25064,3209,ST
25065,3209,ST
25066,3209,ST
25067,3209,ST
25068,3209,ST
25069,3209,ST
25070,3206,ST
25070,3209,ST
25072,3206,ST
25072,3209,ST
25073,3209,ST
25074,3209,ST
25075,3209,ST
25081,3209,ST
25082,3204,ST
25082,3209,ST
25083,3209,ST
25084,3209,ST
25085,3209,ST
25087,3209,ST
25088,3209,ST
25089,3209,ST
25090,3209,ST
25091,3209,ST
25092,3209,ST
25101,3209,ST
25162,3209,ST
25163,3209,ST
25164,3209,ST
25165,3209,ST
25166,3209,ST
25167,3201,ST
25167,3209,ST
25168,3201,ST
25168,3209,ST
25169,3209,ST
25202,3210,ST
25203,3210,ST
25204,3210,ST
25205,3210,ST
25206,3210,ST
25207,3210,ST
25208,3201,ST
25208,3210,ST
25209,3210,ST
25210,3210,ST
25210,3211,ST
25216,3210,ST
25217,3210,ST
25218,3210,ST
25219,3210,ST
25225,3210,ST
25226,3100,PR
25226,3210,ST
25228,3100,PR
25228,3210,ST
25229,3210,ST
25230,3202,ST
25230,3210,ST
25231,3210,ST
25241,3210,ST
25242,3210,ST
25243,3210,ST
25244,3210,ST
25245,3210,ST
25246,3210,ST
25250,3210,ST
25261,3210,ST
25262,3210,ST
25263,3210,ST
25264,3210,ST
25265,3210,ST
25266,3209,ST
25266,3210,ST
25267,3210,ST
25268,3210,ST
25281,3210,ST
25282,3210,ST
25301,3210,ST
25303,3210,ST
25401,3210,ST
25601,3201,ST
25701,3201,ST
25703,3201,ST
25705,3201,ST
25706,3201,ST
25708,3201,ST
25709,3201,ST
25721,3201,ST
25722,3201,ST
25723,3201,ST
25724,3201,ST
25726,3201,ST
25728,3201,ST
25741,3201,ST
25742,3201,ST
25744,3201,ST
25751,3201,ST
25753,3201,ST
25755,3201,ST
25756,3201,ST
25763,3201,ST
25764,3201,ST
25765,3201,ST
25766,3201,ST
25768,3201,ST
25768,3205,ST
25771,3201,ST
25786,3201,ST
25787,3201,ST
25788,3201,ST
25789,3201,ST
25791,3201,ST
25791,3211,ST
25801,3201,ST
25901,3201,ST
26101,3211,ST
26202,3211,ST
26203,3210,ST
26203,3211,ST
26204,3211,ST
26205,3210,ST
26205,3211,ST
26206,3211,ST
26211,3211,ST
26212,3211,ST
26213,3211,ST
26214,3211,ST
26215,3211,ST
26221,3211,ST
26222,3211,ST
26223,3211,ST
26225,3211,ST
26231,3211,ST
26232,3211,ST
26241,3211,ST
26242,3211,ST
26242,3307,JC
26243,3211,ST
26244,3211,ST
26251,3211,ST
26252,3211,ST
26255,3211,ST
26256,3211,ST
26261,3211,ST
26262,3211,ST
26263,3211,ST
26272,3211,ST
26281,3211,ST
26284,3211,ST
